/Users/mac/Desktop/Info-security/lab12/venv/lib/python3.14/site-packages/fastapi/_compat/v1.py:72: UserWarning: Core Pydantic V1 functionality isn't compatible with Python 3.14 or greater.
  from pydantic.v1 import BaseConfig as BaseConfig  # type: ignore[assignment]
INFO:     Started server process [60442]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
INFO:     127.0.0.1:52755 - "POST /login HTTP/1.1" 200 OK
INFO:     127.0.0.1:52757 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52756 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52758 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52759 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52762 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52761 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52760 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52763 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52768 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52767 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52769 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52770 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52771 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52772 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52773 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52774 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52775 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52778 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52776 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52777 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52779 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52780 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52781 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52782 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52783 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52784 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52785 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52786 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52787 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52788 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52789 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52790 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52791 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52792 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52794 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52793 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52795 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52796 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52797 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52798 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52799 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52800 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52801 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52802 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52803 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52804 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52805 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52806 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52807 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52808 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52809 - "GET /login HTTP/1.0" 405 Method Not Allowed
INFO:     127.0.0.1:52811 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52812 - "POST /login HTTP/1.0" 200 OK
INFO:     127.0.0.1:52813 - "POST /login HTTP/1.0" 200 OK
